LSOA.code,LSOA.name,Population.all,Littles,Teens,Twenties,Thirties,Fourties,Fifties,Sixties,Seventies,Eighties,Nineties
E01007916,Sheffield 069B,"1,586",282,183,234,221,206,155,155,67,77,6
E01007919,Sheffield 069C,"1,644",288,186,254,240,231,175,93,84,84,9
E01008080,Sheffield 069D,"1,484",143,165,170,184,220,191,188,129,78,16
E01008081,Sheffield 070A,"1,503",132,181,199,189,229,222,142,126,72,11
E01008082,Sheffield 070B,"1,477",181,146,187,169,211,162,180,115,103,23
E01008083,Sheffield 070C,"1,514",257,182,189,207,233,159,109,80,71,27
E01008084,Sheffield 070D,"1,632",276,190,259,213,224,186,139,78,53,14
E01007915,Sheffield 071A,"1,444",166,148,74,150,234,198,181,179,100,14
E01007917,Sheffield 071B,"1,545",129,173,110,125,208,198,219,248,110,25
E01007918,Sheffield 071C,"1,654",199,169,116,190,252,226,220,158,103,21
E01007922,Sheffield 071D,"1,370",127,156,91,131,211,223,230,135,51,15
E01007924,Sheffield 071E,"1,550",191,171,122,196,246,193,202,135,81,13
E01008021,Sheffield 072A,"1,472",146,222,126,134,273,269,183,85,32,2
E01008023,Sheffield 072B,"2,127",258,263,251,379,427,244,194,82,25,4
E01008024,Sheffield 072C,"1,816",237,225,160,270,297,225,190,144,58,10
E01008025,Sheffield 072D,"1,943",232,210,200,252,334,243,231,153,79,9
E01032585,Sheffield 072E,"1,421",112,93,133,152,170,224,270,180,76,11
E01033261,Sheffield 073A,"1,880",43,162,1395,199,40,15,13,8,4,1
E01033262,Sheffield 073B,"2,443",22,795,1297,198,70,40,12,7,2,0
E01033263,Sheffield 073C,"1,404",160,74,715,299,81,49,11,10,4,1
E01033264,Sheffield 073D,"1,991",49,102,1368,331,66,60,10,2,2,1
E01033276,Sheffield 073E,"3,057",25,214,2538,222,42,3,4,4,5,0
E01008114,Sheffield 074A,"3,087",222,619,1542,328,178,101,49,36,9,3
E01008115,Sheffield 074B,"1,791",67,122,1215,132,80,68,43,26,33,5
E01033265,Sheffield 074C,"1,487",17,317,819,180,80,37,22,5,8,2
E01033266,Sheffield 074D,"1,840",59,159,1291,197,57,43,23,4,5,2
E01033267,Sheffield 074E,"1,651",29,195,1187,156,44,16,11,9,2,2
E01007878,Sheffield 075A,"1,710",239,175,266,394,248,141,120,94,31,2
E01007879,Sheffield 075B,"1,607",117,163,450,185,200,163,111,101,98,19
E01007881,Sheffield 075C,"1,588",210,160,263,231,239,175,150,116,41,3
E01007882,Sheffield 075D,"1,599",158,174,336,286,217,141,133,110,38,6
E01007885,Sheffield 075E,"1,655",254,182,273,276,265,171,130,73,27,4
E01007886,Sheffield 075F,"1,621",325,212,244,185,228,166,135,96,28,2
E01033268,Sheffield 075G,"2,682",404,298,945,355,222,155,129,115,45,14
E01007838,Sheffield 076A,"1,510",171,155,189,191,233,226,153,129,51,12
E01007839,Sheffield 076B,"1,644",213,191,175,223,311,231,146,104,37,13
E01007841,Sheffield 076C,"1,617",157,226,167,187,296,207,161,130,64,22
E01007842,Sheffield 076D,"1,512",150,212,160,157,265,180,178,113,72,25
E01033278,Sheffield 076E,"2,530",315,296,303,309,372,253,303,203,141,35
E01033279,Sheffield 076F,"2,217",267,246,250,276,322,262,264,146,133,51
